Name,Services_Found
Greater Lawrence Fellowship of the Arts,"Mindful Arts Summer Institute, community engagement programs, arts and awareness events, Lawrence Festival of the Arts"
Greater Lawrence Technical School,"Career and technical high school education, cooperative education, auto collision repair, automotive services, restaurant dining, salon services, daycare, facility rentals"
Groundwork Lawrence,"Community engagement programs, food programs, environmental education programs, environmental improvements and park development, brownfields assessment and cleanup"
Hands to Help,"Academic programs, experiential learning, co-ops and internships, study abroad, service learning, career development, academic advising, student financial services"
International Institute of Greater Lawrence,"Immigration documentation assistance, English as a Second Language (ESOL) classes, child care services, fiscal agent services, translation services"
Jeanne Geiger Crisis Center,No services available (website access forbidden)
Lawrence Boys and Girls Club,"Academic success support, healthy lifestyle and fitness programs, character building and leadership development, dance programs, athletic programs, school supply distribution"
Lawrence Catholic Academy,"Preschool through grade 8 academic education, spiritual and human formation, extended day programs, STEM education programs, student meal programs"
Lawrence Community Works,"Asset building, Home buyer programs, Workforce development, English language classes, Youth development programs, Real estate development"
Lawrence General Hospital,"Cancer Care, Emergency Care, Endoscopy, Heart and Vascular, Imaging and Radiology, Infusion Therapy Treatment Center, Intensive Care, Joint Replacement, Laboratory Services, OB/GYN, Occupational Health, Primary Care, Rehabilitation, Services for Growing Families, Sleep Center, Spine, Surgical Services, Stroke Care, Travel Clinic, Weight Management and Bariatrics"
Lawrence Partnership,"Venture Loan Fund, Technical Assistance Grants, Small business coalition, Community engagement, Know Your City series, Educational attainment, Workforce development, Revolving Test Kitchen, Small business events"
Lawrence Partnership for Transition to Employment (LPTE),"Venture Loan Fund, Technical Assistance Grants, Small business coalition, Community engagement, Know Your City series, Educational attainment, Workforce development, Revolving Test Kitchen, Small business events"
Lawrence Prospera- Quintana Center,"Adult Education, ESL Program, Citizenship Naturalization Services"
Lawrence Prospera- SISU,"Adult education, Youth development (SISU program), Construction training, Housing construction, Youth basketball program"
Lawrence Public Library,"Computer lab, Special collections, Childrens services, Teen services, Library card services, Museum passes, Room reservations, Free online courses"
Lawrence Public Schools,"K-12 public education, Adult learning center, Nutrition services, Transportation services, Special education support, Student records and transcript services, English learner parent advisory groups"
Lawrence YMCA,None listed (access forbidden)
Lazarus House Ministries,"Food pantry, Soup kitchen, Clothing, Shelter, Community resources, Advocacy"
MSPCC/Healthy Families,"Pregnancy and parenting support, Home-based family coaching, Parents as Teachers, Child and family counseling, Foster care and adoption, Foster family support (ENCOMPASS), Infant and Early Childhood Mental Health training, Parent support groups, Play groups"
Merrimack Valley Dream Center,"Adopt-A-Block, Bridge Ministry outreach, Celebrate Recovery, Mobile Food Pantry, Mobile Showers & Laundry Services, Shuttle Ministry"
Merrimack River Watershed Council (MRVC),"Environmental advocacy, Environmental education, River recreation, Water quality monitoring, Watershed restoration projects"
Merrimack Valley Food Bank,"Summer Eats meal program, Community Market, Food Rescue, Operation Nourish, Mobile Pantry home delivery, Food Distribution, SNAP Outreach & Enrollment"
Northeast Justice Center,"Legal rights information, Legal action guides, Lawyer referral services, Legal self-help resources (covering housing, family law, debt, public benefits, employment, immigration, health rights, and special education)"
Northern Essex Community College,"Associate degree programs, online courses, course search tool, facility rental, catering services, student support, victim assistance, art gallery"
Notre Dame Cristo Rey,"Academic support, college counseling, dual enrollment, corporate work study, young professional training, campus ministry, athletics, alumni record requests"
Notre Dame Education Center,"English language classes (ESOL), nursing assistant training, citizenship exam preparation, skills training, leadership development"
Neighbors in Need,"Food pantry, diaper pantry, food and diaper delivery and pickup"
Partners for Child Development,"Early intervention services, special education, early childhood education, toddler playgroups, developmental workshops"
Phoenix Charter Academy,College preparatory public high school education
Sarah's Place Adult Day Health Center,"Adult day health services, respite care, support groups, medical monitoring, social activities"
Sevita Health,"Foster care services, behavioral health services, juvenile justice services, day treatment, autism services, early intervention services, community services for adults with disabilities, senior adult day care, in-home senior care, telehealth, health and rehabilitation services"
Si se puede!,"After-school programs, teen center programs, summer programs, homework assistance, leadership development, mentoring"
Squash Busters,"Sports-based youth development, college preparation, health and wellness programs, community squash club membership"
St. Mary's Parish,No services listed
St. Patrick's Catholic Church,"Mass and confession services, religious education, sacramental guidelines, Sunday mass livestream, homily podcast, meal center, cemetery services, prayer line"
Suenos Basketball,"Basketball skills and training clinics, AAU clubs, leadership academy, summer camps, female hoops leadership, international tournaments, coaching certification, youth employment"
The Community Builders,"Residential and commercial development, property and asset management, community life initiatives"
The Community Group,"Early learning child care, out-of-school time enrichment, child care professional training and workforce development, child care referrals, charter public school education"
The Institute for Career Transitions,No services listed
The Kindness Collaborative,"Volunteering programs, kindness rock painting classes, warming stations for dialysis patients, kindness events and basket projects"
The Psychological Center,No services listed
The Salvation Army Lawrence Corps,"Hunger alleviation, addiction recovery programs, camp and summer programs, clothing and furniture donation acceptance, volunteer opportunities"
Top Notch Scholars,No services listed
Uncommon Threads,"Styling sessions, self-esteem and personal growth workshops, clothing and image services, retail store shopping (Uncommon Closet), wardrobe donations"
YWCA,No services listed
Youth Development Organization,"Youth development programs, youth choir (Merrimack Valley Youth Choir)"
American Red Cross | Massachusetts Region,"Disaster services, Home Fire Campaign, disaster preparedness presentations (PrepareMA), food pantry services, services to the armed forces, international services, blood donation coordination, training and certification classes, volunteering opportunities"
