RawService,Category,CanonicalTag,OrgCount
College Application and Financial Aid Support,College & Career Readiness,College Access & Financial Aid,1
College Counseling,College & Career Readiness,College Access & Financial Aid,1
College Enrollment and Graduation Support,College & Career Readiness,College Access & Financial Aid,1
College and Career Pathways Academy,College & Career Readiness,College Access & Financial Aid,1
College preparatory high school education,College & Career Readiness,College Access & Financial Aid,1
Combat Addiction,Mental & Behavioral Health,Substance Use & Recovery,1
Combined Sewer Overflow (CSO) Investigation,Environmental Programs,Environment & Sustainability,1
Commercial Real Estate Development,Housing & Economic Development,Affordable Housing Development,1
Community Behavioral Health Center Services,Mental & Behavioral Health,Mental Health Counseling,1
Community Crisis Stabilization,Mental & Behavioral Health,Mental Health Counseling,1
Community Development Initiatives,Civic & Government Services,Community Organizing & Advocacy,1
Community Engagement Workshops & Classes,Community Events & Public Life,Cultural & Community Events,1
Community Engagement through Public Art Projects,Arts & Creative Programs,Visual & Performing Arts,1
Community Food Outreach,Food Assistance,Food Distribution & Access,1
Community Gardens,Food Assistance,Food Distribution & Access,1
Community Gardens,Environmental Programs,Environment & Sustainability,1
Community Information & Engagement,Civic & Government Services,Information & Referral,1
Community Infrastructure and Public Space Development,Housing & Economic Development,Affordable Housing Development,1
Community Kindness Media Production,Arts & Creative Programs,"Media, Film & Podcasting",1
Community Market,Food Assistance,Food Distribution & Access,1
Community Meals,Food Assistance,Community Meals,1
Community Resources,Civic & Government Services,Information & Referral,1
Community Service Agency (CSA) Programs,Mental & Behavioral Health,Mental Health Counseling,1
Community Service Events,Youth Development & Mentoring,Youth Leadership & Civic Engagement,1
Community Service Opportunities,Youth Development & Mentoring,Youth Leadership & Civic Engagement,1
Community outings,Disability & Aging Services,Senior Programs,1
Community outings,Community Events & Public Life,Cultural & Community Events,1
Competitive Youth Basketball Travel Teams (AAU Program),"Sports, Recreation & Fitness",Youth Sports & Recreation,1
Connections to External Educational Programs,Civic & Government Services,Information & Referral,1
Construction & Carpentry Job Training (SISU Builds),Employment & Workforce Training,Vocational & Trade Training,1
Consumer Protection,Legal & Immigration,Civil Legal Aid,1
Consumer and Tax Legal Help,Utility & Emergency Financial Aid,Public Benefits Assistance,1
Cooking Classes,Health Care (Clinical),Nutrition & Wellness,1
Coordinated Family & Community Engagement (CFCE),Family Support & Child Welfare,Parenting Education,1
Corporate Work Study Program,Youth Development & Mentoring,Youth Jobs & Job Training,1
Costello Urban Farm,Food Assistance,Food Distribution & Access,1
Costello Urban Farm,Environmental Programs,Environment & Sustainability,1
Court and Legal Advocacy,Legal & Immigration,Civil Legal Aid,1
Creative Writing Apprenticeship,Arts & Creative Programs,Visual & Performing Arts,1
Creative Writing instruction,Arts & Creative Programs,Visual & Performing Arts,1
Credit Counseling,Financial Counseling,Financial Coaching & Credit Counseling,1
Crew and Rowing Teams,"Sports, Recreation & Fitness",Youth Sports & Recreation,1
Critical Home Repair Program,Utility & Emergency Financial Aid,Home Repair & Energy Efficiency,1
Culinary & Hospitality Programs,Employment & Workforce Training,Vocational & Trade Training,1
Cultural Inclusion Program,Community Events & Public Life,Cultural & Community Events,1
Cultural Wealth,,,1
Curriculum and Instruction,K-12 Academic Support,Tutoring & Homework Help,1
Daily meals and snacks,Food Assistance,Community Meals,1
Daily meals and snacks,Health Care (Clinical),In-Home & Residential Care,1
Dance and Movement instruction,Arts & Creative Programs,Visual & Performing Arts,1
Day Programs,Disability & Aging Services,Disability Support Services,1
Diaper Distribution,Clothing & Household Essentials,Diapers & Baby Supplies,1
Direct Kindness Packages & Essential Goods Provision,Clothing & Household Essentials,Clothing & Essential Goods,1
Disability Support Services,Disability & Aging Services,Disability Support Services,1
Disaster Preparedness Education,Civic & Government Services,Disaster Relief & Preparedness,1
Disaster Services,Civic & Government Services,Disaster Relief & Preparedness,1
Disease Prevention and Health Education,Health Care (Clinical),Nutrition & Wellness,1
Domestic Violence Survivor Services,Domestic & Sexual Violence Services,Domestic Violence Services,1
Domestic Violence and Crime Victim Legal Advocacy,Domestic & Sexual Violence Services,Domestic Violence Services,1
Domestic Violence and Crime Victim Legal Advocacy,Legal & Immigration,Civil Legal Aid,1
Domestic Violence and Sexual Assault Support Services,Domestic & Sexual Violence Services,Domestic Violence Services,1
Dual Enrollment,College & Career Readiness,College Access & Financial Aid,1
ENCOMPASS: Community and Collaboration for Foster Families,Family Support & Child Welfare,Foster Care & Adoption,1
ESL classes,Adult Education & ESL,ESOL & English Classes,1
ESOL Classes,Adult Education & ESL,ESOL & English Classes,2
Early Childhood Education (Head Start & Childcare),Early Childhood & Child Care,Child Care & Early Education,1
Early Childhood Education Program (Woodbridge School),Early Childhood & Child Care,Child Care & Early Education,1
Early Intervention Services,Early Childhood & Child Care,Early Intervention,2
Early Intervention and Pregnancy Support,Health Care (Clinical),Women's Health & Prenatal Care,1
Early Learning Education and Care,Early Childhood & Child Care,Child Care & Early Education,1
Early Learning and Child Care,Early Childhood & Child Care,Child Care & Early Education,1
Education,,,2
Elder Law Services,Legal & Immigration,Civil Legal Aid,1
Elderly Support Program,Disability & Aging Services,Senior Programs,1
Emergency Care,Health Care (Clinical),Primary & Walk-In Care,1
Emergency Food Pantry,Food Assistance,Food Pantry,1
Emergency Services,Civic & Government Services,Disaster Relief & Preparedness,1
Emergency Shelter,Homelessness & Emergency Shelter,Emergency Shelter,2
Emergency and Seasonal Clothing Provision,Clothing & Household Essentials,Clothing & Essential Goods,1
Employment Services,Employment & Workforce Training,Job Placement & Career Services,1
Empower Youth,Youth Development & Mentoring,Youth Leadership & Civic Engagement,1
Empowerment Pop-up Shopping Events,Clothing & Household Essentials,Clothing & Essential Goods,1
Energy Bill Assistance (LIHEAP),Utility & Emergency Financial Aid,Utility & Energy Bill Assistance,1
English Language Learner (ELL) support,Adult Education & ESL,ESOL & English Classes,1
English Learner Support Services,Adult Education & ESL,ESOL & English Classes,1
Entrepreneur Training and Mentorship,Youth Development & Mentoring,Mentoring,1
Entrepreneurship Academy,Small Business & Nonprofit Support,Small Business & Entrepreneurship,1
Environmental Education,Environmental Programs,Environment & Sustainability,1
Environmental Health and Environmental Justice,Civic & Government Services,Community Organizing & Advocacy,1
Environmental Health and Environmental Justice,Health Care (Clinical),Nutrition & Wellness,1
Equip Individuals and Families,Family Support & Child Welfare,Family Counseling & Support,1
Evening Study Program,K-12 Academic Support,After-School Programs,1
Evening of Giving,Clothing & Household Essentials,Clothing & Essential Goods,1
Executive Roundtables for Nonprofit Leaders,Small Business & Nonprofit Support,Nonprofit Capacity Building,1
Exercise classes,"Sports, Recreation & Fitness",Sports & Fitness,1
Exercise classes,Disability & Aging Services,Senior Programs,1
Expressive and Nature-Based Therapies,Mental & Behavioral Health,Mental Health Counseling,1
Expressive and Nature-Based Therapies,Arts & Creative Programs,Visual & Performing Arts,1
Extended Day Program,K-12 Academic Support,After-School Programs,1
Extra-Curricular Activities,Youth Development & Mentoring,Youth Leadership & Civic Engagement,1
FORMED (religious content platform),Faith & Spiritual Services,Faith & Worship,1
Facilities Usage & Event Rental,Community Events & Public Life,Cultural & Community Events,1
Family & Community Engagement Programs,Family Support & Child Welfare,Parenting Education,1
Family Law Services,Legal & Immigration,Civil Legal Aid,1
Family Partnership,Family Support & Child Welfare,Parenting Education,1
Family Resource Center,Family Support & Child Welfare,Parenting Education,1
Family Strengthening and Mental Health Services,Mental & Behavioral Health,Mental Health Counseling,1
Family Support and Training,Family Support & Child Welfare,Family Counseling & Support,2
Farmer's Market,Food Assistance,Food Distribution & Access,1
Farmer's Market,Environmental Programs,Environment & Sustainability,1
Female Hoops Leadership,"Sports, Recreation & Fitness",Youth Sports & Recreation,1
Final Pitch Competition,Small Business & Nonprofit Support,Small Business & Entrepreneurship,1
Financial Aid and Scholarships,College & Career Readiness,College Access & Financial Aid,1
Financial Assistance,Financial Counseling,Financial Coaching & Credit Counseling,1
Financial Assistance Programs,Financial Counseling,Financial Coaching & Credit Counseling,1
Financial Literacy,Financial Counseling,Financial Coaching & Credit Counseling,1
First-Time Homebuyer Education,Homebuyers and Renters Assistance,Homebuyer Education,1
Fiscal Agent Services,Small Business & Nonprofit Support,Nonprofit Capacity Building,1
Fitness Center and Group Exercise Classes,"Sports, Recreation & Fitness",Sports & Fitness,1
Food Assistance for Families and Seniors,Food Assistance,Food Distribution & Access,1
Food Distribution Program,Food Assistance,Food Distribution & Access,1
Food Pantry,Food Assistance,Food Pantry,2
Food Pantry Services,Food Assistance,Food Pantry,1
Food Rescue,Food Assistance,Food Distribution & Access,2
Food Support for Vulnerable Communities,Food Assistance,Food Distribution & Access,1
Foreclosure Prevention,Homebuyers and Renters Assistance,Foreclosure Prevention,1
Foreclosure Prevention and Homeowner Counseling,Homebuyers and Renters Assistance,Foreclosure Prevention,1
Foster Care Services,Family Support & Child Welfare,Foster Care & Adoption,1
Foster Care and Adoption Placement Services,Family Support & Child Welfare,Foster Care & Adoption,1
Foster/Kinship/Adoptive Family Trauma Support (Kid’s Net),Family Support & Child Welfare,Foster Care & Adoption,1
Free Barber & Cosmetology Shop for Youth (SISU CUTZ),Clothing & Household Essentials,Clothing & Essential Goods,1
Free Barber & Cosmetology Shop for Youth (SISU CUTZ),Employment & Workforce Training,Vocational & Trade Training,1
Fresh Start Mobile Showers & Laundry Services,Clothing & Household Essentials,Clothing & Essential Goods,1
GED & Vocational Training for Young Adults Ages 16-24 (YouthBuild),Youth Development & Mentoring,Youth Jobs & Job Training,1
GLTS Scholarship Programs,College & Career Readiness,Scholarships,1
General Community & Family Support,Family Support & Child Welfare,Family Counseling & Support,1
General Studies Programs,K-12 Academic Support,K-12 Schools,1
Geriatric Care,Health Care (Clinical),In-Home & Residential Care,1
Girls STEM Center,K-12 Academic Support,STEM Programs,1
Grab and Go,Food Assistance,Community Meals,1
Graduate Success,College & Career Readiness,College Access & Financial Aid,1
Group Counseling,Family Support & Child Welfare,Family Counseling & Support,1
Groups and Workshops,,,1
Gynecology,Health Care (Clinical),Women's Health & Prenatal Care,1
HOLA Podcast,Arts & Creative Programs,"Media, Film & Podcasting",1
Hair and Beauty Salon Services (Public),Clothing & Household Essentials,Clothing & Essential Goods,1
Health Insurance Enrollment and Cost of Care Assistance,Health Care (Clinical),Health Insurance Enrollment,1
Health Insurance Enrollment and Cost of Care Assistance,Financial Counseling,Financial Coaching & Credit Counseling,1
Health Insurance Navigation,Health Care (Clinical),Health Insurance Enrollment,1
Health Insurance Navigation,Financial Counseling,Financial Coaching & Credit Counseling,1
Health Sciences Programs,K-12 Academic Support,STEM Programs,1
Health and family education and support,Health Care (Clinical),Primary & Walk-In Care,1
Health literacy initiative,Health Care (Clinical),Nutrition & Wellness,1
Healthy Families Home-based Family Coaching Program,Early Childhood & Child Care,Early Intervention,1
Healthy Lifestyles Education,Health Care (Clinical),Nutrition & Wellness,1
Help Disaster Survivors,Civic & Government Services,Disaster Relief & Preparedness,1
High School Placement Advising,College & Career Readiness,College Access & Financial Aid,1
Holiday Gift Card Drive,Clothing & Household Essentials,Clothing & Essential Goods,1
"Holiday and Family Support Events (Thanksgiving Dinner, Blessing Kits, Christmas Empowerment)",Food Assistance,Food Distribution & Access,1
Home Energy Efficiency & Improvement,Utility & Emergency Financial Aid,Home Repair & Energy Efficiency,1
Home Fire Campaign,Civic & Government Services,Disaster Relief & Preparedness,1
Home Health Aide training,Employment & Workforce Training,Vocational & Trade Training,1
Home Health Aide training,Health Care (Clinical),In-Home & Residential Care,1
Homebuyer Education and Counseling,Homebuyers and Renters Assistance,Homebuyer Education,1
Homeownership Assistance,Homebuyers and Renters Assistance,Homebuyer Education,1
Homeownership Program,Homebuyers and Renters Assistance,Homebuyer Education,1
Homilies Podcast,Arts & Creative Programs,"Media, Film & Podcasting",1
Hospitalist Care,Health Care (Clinical),In-Home & Residential Care,1
Housing Assistance,Homebuyers and Renters Assistance,Rental Assistance & Tenant Rights,1
Housing Development,Housing & Economic Development,Affordable Housing Development,1
Housing and Foreclosure Defense,Homebuyers and Renters Assistance,Rental Assistance & Tenant Rights,1
Human Services & Criminal Justice Programs,Employment & Workforce Training,Vocational & Trade Training,1
Humanities & Communication Programs,K-12 Academic Support,K-12 Schools,1
ICT Talks Podcast and Video Series,Arts & Creative Programs,"Media, Film & Podcasting",1
IECMH Training,Mental & Behavioral Health,Mental Health Counseling,1
Immigration Assistance,Legal & Immigration,Immigration Legal Services,1
Immigration Legal Services,Legal & Immigration,Immigration Legal Services,1
In School Programs,K-12 Academic Support,After-School Programs,1
In-Home Support Services,Health Care (Clinical),In-Home & Residential Care,1
In-Home Therapy,Health Care (Clinical),In-Home & Residential Care,1
In-Hospital Patient Entertainment Channel,Arts & Creative Programs,"Media, Film & Podcasting",1
Individual and Family Counseling,Family Support & Child Welfare,Family Counseling & Support,1
Infant and Early Childhood Mental Health (IECMH) Services,Mental & Behavioral Health,Mental Health Counseling,1
Information assistance,Civic & Government Services,Information & Referral,1
Internal Medicine,Health Care (Clinical),Primary & Walk-In Care,1
International Services,Civic & Government Services,Disaster Relief & Preparedness,1
International Tournaments,"Sports, Recreation & Fitness",Youth Sports & Recreation,1
Interpreter Services,Legal & Immigration,Interpretation & Translation,1
Interpreter Services,Health Care (Clinical),Primary & Walk-In Care,1
Intimate Partner Abuse Education,Domestic & Sexual Violence Services,Domestic Violence Services,1
Juneteenth Arts and Awareness events,Community Events & Public Life,Cultural & Community Events,1
Juvenile Justice Services,Youth Development & Mentoring,Youth Justice & Reentry,1
Juvenile Justice Services,Legal & Immigration,Civil Legal Aid,1
K-12 Education,K-12 Academic Support,K-12 Schools,1
K1-8 Charter Public School,K-12 Academic Support,K-12 Schools,1
Kayaking,"Sports, Recreation & Fitness",Boating & Waterfront Recreation,1
Kind Business Certification & Network,Small Business & Nonprofit Support,Small Business & Entrepreneurship,1
Kindness Grants,Small Business & Nonprofit Support,Nonprofit Capacity Building,1
Know Your City Series,Community Events & Public Life,Cultural & Community Events,1
LP Network,Small Business & Nonprofit Support,Small Business & Entrepreneurship,1
Labor Market Advocacy,Employment & Workforce Training,Job Placement & Career Services,1
Laboratory Services,Health Care (Clinical),Primary & Walk-In Care,1
Landlord/Tenant Rights & Responsibilities Workshops,Homebuyers and Renters Assistance,Rental Assistance & Tenant Rights,1
Lawrence Festival of the Arts,Community Events & Public Life,Cultural & Community Events,1
Lawrence Youth Soccer,"Sports, Recreation & Fitness",Youth Sports & Recreation,1
Leadership & Youth Jobs,Youth Development & Mentoring,Youth Jobs & Job Training,1
Leadership Academy,Youth Development & Mentoring,Youth Leadership & Civic Engagement,1
Library card services,Civic & Government Services,Library & Technology Access,1
Life and Health Services,Health Care (Clinical),Primary & Walk-In Care,1
Local Job Connection,Youth Development & Mentoring,Youth Jobs & Job Training,1
Local governance and election information,Civic & Government Services,Municipal & City Services,1
MBTA Reduced Fares Assistance,Civic & Government Services,Transportation Assistance,1
MBTA Reduced Fares Assistance,Utility & Emergency Financial Aid,Public Benefits Assistance,1
MLK Day of Service,Youth Development & Mentoring,Youth Leadership & Civic Engagement,1
MV Small Business Coalition,Small Business & Nonprofit Support,Small Business & Entrepreneurship,1
Mass and Confession,Faith & Spiritual Services,Faith & Worship,1
MassAIMH Endorsement® Consultation and Support,Small Business & Nonprofit Support,Nonprofit Capacity Building,1
Massachusetts Alliance for Foster Families (MAFF) Support,Family Support & Child Welfare,Foster Care & Adoption,1
Material acquisition suggestions,Civic & Government Services,Library & Technology Access,1
Meal Packaging for Food Pantries and Shelters,Food Assistance,Food Distribution & Access,1
Meal Program,Food Assistance,Community Meals,1
Meal Services,Food Assistance,Community Meals,1
Meal Trains,Food Assistance,Community Meals,1
Medical Records Access,Health Care (Clinical),Health Insurance Enrollment,1
Medical monitoring and medication administration,Health Care (Clinical),In-Home & Residential Care,1
Membership Financial Assistance,Financial Counseling,Financial Coaching & Credit Counseling,1
"Mental Health Counseling (Individual, Group, and Family)",Mental & Behavioral Health,Mental Health Counseling,1
Mentoring and Internships,Youth Development & Mentoring,Mentoring,1
Merrimack Valley Food Resiliency Partnership,Food Assistance,Food Distribution & Access,1
Mindful Arts Summer Institute,Arts & Creative Programs,Visual & Performing Arts,1
Mindfulness and wellness practices workshops,Mental & Behavioral Health,Mental Health Counseling,1
Mindfulness and wellness practices workshops,Health Care (Clinical),Nutrition & Wellness,1
Mobile Food Distribution,Food Assistance,Food Distribution & Access,1
Mobile Pantry,Food Assistance,Food Pantry,1
Mommy and Me Music Time,Early Childhood & Child Care,Child Care & Early Education,1
Mommy and Me Music Time,Arts & Creative Programs,Music Programs,1
Multilingual Learner Programs,Adult Education & ESL,ESOL & English Classes,1
Music Composition / Songwriting / Production Instruction,Arts & Creative Programs,Music Programs,1
Music Production/Sound Engineering/Podcasting (SISU BEATZ),Arts & Creative Programs,Music Programs,1
Music Production/Sound Engineering/Podcasting (SISU BEATZ),Employment & Workforce Training,Vocational & Trade Training,1
Music Therapy,Mental & Behavioral Health,Mental Health Counseling,1
Music Therapy,Arts & Creative Programs,Music Programs,1
National Honor Society,Youth Development & Mentoring,Youth Leadership & Civic Engagement,1
Neighborhood Services,Community Events & Public Life,Neighborhood Improvement,1
Nonprofit Consulting,Small Business & Nonprofit Support,Nonprofit Capacity Building,1
Nonprofit Management Workshops,Small Business & Nonprofit Support,Nonprofit Capacity Building,1
Nursing Assistant training,Employment & Workforce Training,Vocational & Trade Training,1
Nursing Assistant training,Health Care (Clinical),In-Home & Residential Care,1
Nutrition Counseling,Health Care (Clinical),Nutrition & Wellness,1
Nutrition Services,Health Care (Clinical),Nutrition & Wellness,1
Nutrition Services,Food Assistance,Community Meals,1
Obstetrics and Prenatal Care,Health Care (Clinical),Women's Health & Prenatal Care,1
October Fun Fest,Community Events & Public Life,Cultural & Community Events,1
One-on-One College Mentoring,Youth Development & Mentoring,Mentoring,1
Online Financial & Regulatory Services,Civic & Government Services,Municipal & City Services,1
Online Kindness Happenings Platform,Community Events & Public Life,Cultural & Community Events,1
Online Learning Programs,Adult Education & ESL,Adult Education & GED,1
Online adult education courses,Adult Education & ESL,Adult Education & GED,1
Operation Nourish,Food Assistance,Food Distribution & Access,1
Out-of-School Time Enrichment,K-12 Academic Support,After-School Programs,1
Outpatient Addiction Program,Mental & Behavioral Health,Substance Use & Recovery,1
Paddleboarding,"Sports, Recreation & Fitness",Boating & Waterfront Recreation,1
Parent Education programs,Family Support & Child Welfare,Parenting Education,1
Parents as Teachers Program,Early Childhood & Child Care,Early Intervention,1
Parish Fellowship Groups,Faith & Spiritual Services,Faith & Worship,1
Park Cleanups,Environmental Programs,Environment & Sustainability,1
Park Cleanups,Community Events & Public Life,Neighborhood Improvement,1
Patient Portal,Health Care (Clinical),Health Insurance Enrollment,1
Paul Lefty Wennik Scholarship,College & Career Readiness,Scholarships,1
Pediatric Care,Health Care (Clinical),Pediatric Care,1
Peer Support for Career Transitions,Employment & Workforce Training,Job Placement & Career Services,1
Pharmacy Residency Program,Health Care (Clinical),Pharmacy Services,1
Pharmacy Services,Health Care (Clinical),Pharmacy Services,1
Photography and Videography Apprenticeship,Arts & Creative Programs,"Media, Film & Podcasting",1
Photography and Videography Apprenticeship,Employment & Workforce Training,Vocational & Trade Training,1
Physical and digital library collections access,Civic & Government Services,Library & Technology Access,1
Physician communication and coordination,Health Care (Clinical),Primary & Walk-In Care,1
Post-Event Water Quality Testing,Environmental Programs,Environment & Sustainability,1
Post-secondary success and transition support,College & Career Readiness,College Access & Financial Aid,1
Prayer Line,Faith & Spiritual Services,Faith & Worship,1
Pre-School/Kindergarten Program,Early Childhood & Child Care,Child Care & Early Education,1
Programs at Phillips Academy,K-12 Academic Support,After-School Programs,1
Property and Asset Management,Housing & Economic Development,Affordable Housing Development,1
Psychiatric Services and Medication Clinic,Mental & Behavioral Health,Psychiatry & Medication,1
Psychopharmacology,Mental & Behavioral Health,Psychiatry & Medication,1
Public Benefits Assistance,Utility & Emergency Financial Aid,Public Benefits Assistance,1
Public Lectures & Cultural Events,Community Events & Public Life,Cultural & Community Events,1
Public and Social Health,Health Care (Clinical),Nutrition & Wellness,1
ReStore Donations and Shopping,Clothing & Household Essentials,Clothing & Essential Goods,1
Recovery Support Services,Mental & Behavioral Health,Substance Use & Recovery,1
Recreation Promotion,"Sports, Recreation & Fitness",Youth Sports & Recreation,1
Recreational/Youth Programs,"Sports, Recreation & Fitness",Youth Sports & Recreation,1
Referral to Other Community Resources,Civic & Government Services,Information & Referral,1
Rehabilitation and Medical Services,Health Care (Clinical),In-Home & Residential Care,1
Religious Education,K-12 Academic Support,K-12 Schools,1
Remote Styling (Threads to Go),Clothing & Household Essentials,Clothing & Essential Goods,1
Rental Assistance and Counseling,Homebuyers and Renters Assistance,Rental Assistance & Tenant Rights,1
Rental Counseling,Homebuyers and Renters Assistance,Rental Assistance & Tenant Rights,1
"Resident Services (Childcare Access, Food Access, Digital Inclusion)",Food Assistance,Food Distribution & Access,1
Residential Programs,Health Care (Clinical),In-Home & Residential Care,1
Residential Services,Health Care (Clinical),In-Home & Residential Care,1
Respite care,Health Care (Clinical),In-Home & Residential Care,1
Respite care,Family Support & Child Welfare,Family Counseling & Support,1
Restaurant Dining Services (Public),,,1
Restorative Justice,Youth Development & Mentoring,Youth Justice & Reentry,1
Restorative Justice,Legal & Immigration,Civil Legal Aid,1
Rigorous Academic Curriculum,K-12 Academic Support,Tutoring & Homework Help,1
SAT Preparation,K-12 Academic Support,Tutoring & Homework Help,1
SNAP Outreach & Enrollment,Food Assistance,SNAP & WIC Enrollment,1
STEM Education,K-12 Academic Support,STEM Programs,1
STEM programs,K-12 Academic Support,STEM Programs,1
